Run,OS,Combination,Time(m)Raw,Min,Seconds,Time(m)Normalized,Accelerator,Integrator
3,Ubuntu-22-04-WSL,pavilion-day_bvh_path.pbrt,20m49.009s,20,49.009,20.81681667,bvh,path
3,Ubuntu-22-04-WSL,vw-van_kdtree_path.pbrt,13m55.114s,13,55.114,13.91856667,kdtree,path
3,Ubuntu-22-04-WSL,vw-van_bvh_volpath.pbrt,10m23.992s,10,23.992,10.39986667,bvh,volpath
3,Ubuntu-22-04-WSL,pavilion-day_bvh_volpath.pbrt,21m38.907s,21,38.907,21.64845,bvh,volpath
3,Ubuntu-22-04-WSL,dragon-10_kdtree_path.pbrt,24m15.767s,24,15.767,24.26278333,kdtree,path
3,Ubuntu-22-04-WSL,vw-van_kdtree_volpath.pbrt,12m54.294s,12,54.294,12.9049,kdtree,volpath
3,Ubuntu-22-04-WSL,pavilion-day_kdtree_path.pbrt,18m19.237s,18,19.237,18.32061667,kdtree,path
3,Ubuntu-22-04-WSL,killeroo-gold_kdtree_volpath.pbrt,8m44.745s,8,44.745,8.74575,kdtree,volpath
3,Ubuntu-22-04-WSL,killeroo-gold_bvh_path.pbrt,5m52.127s,5,52.127,5.868783333,bvh,path
3,Ubuntu-22-04-WSL,killeroo-gold_bvh_volpath.pbrt,5m56.152s,5,56.152,5.935866667,bvh,volpath
3,Ubuntu-22-04-WSL,dragon-10_bvh_path.pbrt,9m17.358s,9,17.358,9.2893,bvh,path
3,Ubuntu-22-04-WSL,dragon-10_bvh_volpath.pbrt,9m32.455s,9,32.455,9.540916667,bvh,volpath
3,Ubuntu-22-04-WSL,vw-van_bvh_path.pbrt,10m8.887s,10,8.887,10.14811667,bvh,path
3,Ubuntu-22-04-WSL,killeroo-gold_kdtree_path.pbrt,8m29.771s,8,29.771,8.496183333,kdtree,path
3,Ubuntu-22-04-VM-Minimal,killeroo-gold_kdtree_volpath.pbrt,9m55.939s,9,55.939,9.932316667,kdtree,volpath
3,Ubuntu-22-04-VM-Minimal,vw-van_kdtree_path.pbrt,14m52.382s,14,52.382,14.87303333,kdtree,path
3,Ubuntu-22-04-VM-Minimal,vw-van_bvh_path.pbrt,11m59.516s,11,59.516,11.99193333,bvh,path
3,Ubuntu-22-04-VM-Minimal,dragon-10_bvh_volpath.pbrt,11m57.656s,11,57.656,11.96093333,bvh,volpath
3,Ubuntu-22-04-VM-Minimal,killeroo-gold_kdtree_path.pbrt,9m45.286s,9,45.286,9.754766667,kdtree,path
3,Ubuntu-22-04-VM-Minimal,dragon-10_kdtree_volpath.pbrt,29m44.651s,29,44.651,29.74418333,kdtree,volpath
3,Ubuntu-22-04-VM-Minimal,pavilion-day_bvh_volpath.pbrt,25m4.846s,25,4.846,25.08076667,bvh,volpath
3,Ubuntu-22-04-VM-Minimal,vw-van_bvh_volpath.pbrt,12m19.500s,12,19.5,12.325,bvh,volpath
3,Ubuntu-22-04-VM-Minimal,pavilion-day_kdtree_volpath.pbrt,24m15.155s,24,15.155,24.25258333,kdtree,volpath
3,Ubuntu-22-04-VM-Minimal,vw-van_kdtree_volpath.pbrt,15m20.483s,15,20.483,15.34138333,kdtree,volpath
3,Ubuntu-22-04-VM-Minimal,dragon-10_bvh_path.pbrt,11m23.699s,11,23.699,11.39498333,bvh,path
3,Ubuntu-22-04-VM-Minimal,dragon-10_kdtree_path.pbrt,29m24.794s,29,24.794,29.41323333,kdtree,path
3,Ubuntu-22-04-VM-Minimal,pavilion-day_kdtree_path.pbrt,21m15.152s,21,15.152,21.25253333,kdtree,path
3,Ubuntu-22-04-VM-Minimal,pavilion-day_bvh_path.pbrt,22m9.661s,22,9.661,22.16101667,bvh,path
3,Ubuntu-22-04-VM-Minimal,killeroo-gold_bvh_volpath.pbrt,6m51.492s,6,51.492,6.8582,bvh,volpath
3,Ubuntu-22-04-VM-Minimal,killeroo-gold_bvh_path.pbrt,6m45.515s,6,45.515,6.758583333,bvh,path
3,Windows11,dragon-10_kdtree_path.pbrt,32.2669047,,,32.2669047,kdtree,path
3,Windows11,vw-van_bvh_path.pbrt,13.39076509,,,13.39076509,bvh,path
3,Windows11,pavilion-day_bvh_path.pbrt,24.57433154,,,24.57433154,bvh,path
3,Windows11,pavilion-day_bvh_volpath.pbrt,27.91007463,,,27.91007463,bvh,volpath
3,Windows11,vw-van_kdtree_volpath.pbrt,17.99096465,,,17.99096465,kdtree,volpath
3,Windows11,dragon-10_bvh_volpath.pbrt,11.2617176,,,11.2617176,bvh,volpath
3,Windows11,killeroo-gold_bvh_volpath.pbrt,7.900584825,,,7.900584825,bvh,volpath
3,Windows11,dragon-10_bvh_path.pbrt,10.92525264,,,10.92525264,bvh,path
3,Windows11,killeroo-gold_kdtree_volpath.pbrt,12.55201062,,,12.55201062,kdtree,volpath
