Tiempo;Objetos;Arquitectura;Efectos;Resolucion
22.54;260000;APU;NA-TR-NA;1920x1080
6.41;4000;APU;NA-TR-RE;1440x900
19.95;260000;APU;NA-NA-RE;1280x720
17.25;4000;APU;AA-TR-RE;1280x720
7.96;1000;APU;AA-TR-NA;1920x1080
11.65;65000;APU;NA-TR-NA;1920x1080
66.62;260000;APU;AA-TR-NA;1280x720
10.50;16000;APU;NA-TR-RE;1280x720
6.73;1000;APU;AA-NA-NA;1920x1080
53.04;260000;APU;NA-TR-RE;1440x900
13.85;4000;APU;AA-TR-NA;1920x1080
44.36;65000;APU;AA-TR-NA;1920x1080
11.78;65000;APU;NA-TR-NA;1920x1080
65.94;16000;APU;AA-TR-RE;1920x1080
30.52;16000;APU;AA-NA-RE;1920x1080
15.48;16000;APU;NA-TR-RE;1920x1080
5.88;4000;APU;NA-TR-NA;1920x1080
8.11;4000;APU;AA-NA-NA;1440x900
8.70;1000;APU;AA-TR-RE;1440x900
39.91;260000;APU;AA-NA-NA;1280x720
5.15;1000;APU;AA-NA-NA;1280x720
5.70;16000;APU;NA-NA-NA;1920x1080
4.77;16000;APU;NA-NA-NA;1280x720
26.15;16000;APU;AA-TR-NA;1920x1080
4.18;1000;APU;NA-NA-RE;1920x1080
24.47;16000;APU;AA-NA-RE;1440x900
52.81;260000;APU;NA-TR-RE;1440x900
23.73;65000;APU;NA-TR-RE;1440x900
3.49;1000;APU;NA-NA-NA;1280x720
7.50;1000;APU;AA-TR-RE;1280x720
24.50;16000;APU;AA-NA-RE;1440x900
3.83;1000;APU;NA-TR-RE;1280x720
24.66;4000;APU;AA-TR-RE;1920x1080
8.31;4000;APU;AA-NA-NA;1440x900
12.65;4000;APU;AA-NA-RE;1440x900
250.96;260000;APU;AA-TR-RE;1440x900
11.81;4000;APU;AA-TR-NA;1440x900
4.54;1000;APU;NA-TR-RE;1920x1080
5.45;4000;APU;NA-TR-RE;1280x720
8.65;16000;APU;NA-NA-RE;1920x1080
43.97;65000;APU;AA-TR-NA;1920x1080
100.88;260000;APU;AA-NA-RE;1440x900
43.80;16000;APU;AA-TR-RE;1280x720
30.74;16000;APU;AA-NA-RE;1920x1080
6.67;1000;APU;AA-TR-NA;1280x720
19.07;16000;APU;AA-NA-RE;1280x720
